city,link,name,location,eventName
belo-horizonte-mg,https://www.sympla.com.br/carna-holi-mineirao---festival-das-cores__112179,Carnaval Exclusive,sympla,CARNA HOLI MINEIRÃO - FESTIVAL DAS CORES
belo-horizonte-mg,https://www.sympla.com.br/-sunset-feelings-__118012,Sunset Feelings,sympla,❂ Sunset Feelings ❂
belo-horizonte-mg,https://www.sympla.com.br/borala-o-food-park-o-1702__116165,#BoraLá - Food Park,sympla,BoraLá! • Food Park • 17//02
belo-horizonte-mg,https://www.sympla.com.br/curso-de-gestao-orientada-a-resultados__118223,UBQ - União Brasileira para a Qualidade,sympla,Curso de Gestão Orientada a Resultados
belo-horizonte-mg,https://www.sympla.com.br/curso-palografico__118250,Cristiane Matias,sympla,Curso Palográfico
belo-horizonte-mg,https://www.sympla.com.br/1702sexta--new-rock-festival-amsterdam--cah--like5--kor__118315,Amsterdam Pub,sympla,17/02.SEXTA ✭ New Rock Festival Amsterdam ✭ CA$H + LIKE5 + KOR!!
belo-horizonte-mg,https://www.sympla.com.br/passaporte-major-block__118292,Felipe Marreco,sympla,PASSAPORTE MAJOR BLOCK
belo-horizonte-mg,https://www.sympla.com.br/storytelling-e-transmidia-com-bruno-scartozzoni__118345,Skillup,sympla,Storytelling e Transmídia com Bruno Scartozzoni
belo-horizonte-mg,https://www.sympla.com.br/oficina-de-maquiagem-de-carnaval---com-gabriela-dominguez__117296,Gabriela Dominguez,sympla,Oficina de Maquiagem de Carnaval - Com Gabriela Dominguez
belo-horizonte-mg,https://www.sympla.com.br/cineca---luzes-da-cidade-de-charlie-chaplin__118035,ECA - Espaço de Cultura e Arte,sympla,CinECA - "Luzes da Cidade" de Charlie Chaplin
belo-horizonte-mg,https://www.sympla.com.br/coaching-de-carreira--sucesso-pessoal-e-profissional__114252,SBCoaching Empresas - Belo Horizonte - Unidade 61,sympla,Coaching de Carreira | Sucesso Pessoal e Profissional
belo-horizonte-mg,https://www.sympla.com.br/nosso-bloco---1702---me-beija-que-sou-pagodeiro--vsbk__115135,O MERCADO,sympla,NOSSO BLOCO - 17/02 - ME BEIJA QUE SOU PAGODEIRO + VSBK
belo-horizonte-mg,https://www.sympla.com.br/brain-connection-family-inscricao-para-familias__88844,Aprendizagem e Companhia,sympla,Brain Connection Family (Inscrição para Famílias)
belo-horizonte-mg,https://www.sympla.com.br/bebamaisleite-marcio-atalla---leite-alimento-na-medida-certa__108870,#bebamaisleite,sympla,#bebamaisleite: Marcio Atalla - Leite, alimento na medida certa!
belo-horizonte-mg,https://www.sympla.com.br/beico-do-abacaxi---ensaio-coletivo__117989,Alô Abacaxi,sympla,Beiço do Abacaxi - Ensaio Coletivo
belo-horizonte-mg,https://www.sympla.com.br/i-n-d-i-e-g-e-n-t-e-s-30--p-r-e-m-i-u-m__107132,Indiegentes,sympla,I n d i e G e n t e s 3.0 ✰ P R E M I U M
belo-horizonte-mg,https://www.sympla.com.br/0x0d1a__117853,João Paulo, Samantha Morais Nunes, Thiago Cardoso,sympla,0x0d1a
belo-horizonte-mg,https://www.sympla.com.br/workshop-design-instrucional-e-aprendizagem__118500,T&D Cursos,sympla,WORKSHOP DESIGN INSTRUCIONAL E APRENDIZAGEM
belo-horizonte-mg,https://www.sympla.com.br/ii-campeonato-estreantes-ifbb-minas-2017__118621,IFBB MINAS,sympla,II CAMPEONATO ESTREANTES IFBB MINAS 2017
belo-horizonte-mg,https://www.sympla.com.br/sab--jack-experience-senhor-kalota--gabi-mello--aeroplane__118512,Circuito do Rock,sympla,SÁB | JACK EXPERIENCE! SENHOR KALOTA + GABI MELLO + AEROPLANE
belo-horizonte-mg,https://www.sympla.com.br/comunica-que-duplica__118366,Claudia Silva,sympla,COMUNICA QUE DUPLICA
belo-horizonte-mg,https://www.sympla.com.br/-bloco-jangalito-bloco-da-familia--entrada-gratuita--parque-das-mangabeiras__118519,Macaco Prego,sympla,♡ Bloco Jângalito: Bloco da Familia ♡ Entrada Gratuita ♡ Parque das Mangabeiras 
belo-horizonte-mg,https://www.sympla.com.br/bloco-da-catuaba-selvagem---2602---a-fabrica__118681,Bloco da Catuaba,sympla,Bloco Da Catuaba Selvagem - 26/02 - A Fábrica
belo-horizonte-mg,https://www.sympla.com.br/caminhos-de-rosa---peregrinacao-2017__90762,Caminhos de Rosa - Peregrinação,sympla,CAMINHOS DE ROSA - PEREGRINAÇÃO 2017
belo-horizonte-mg,https://www.sympla.com.br/curso-presencial-marketing-digital-em-bh-marco2017__100461,Nautilos,sympla,Curso Presencial Marketing Digital em BH (Março/2017)
belo-horizonte-mg,https://www.sympla.com.br/marketing-digital-para-produtores-locais---4-edicao__110257,GUAJA Casa,sympla,Marketing Digital para Produtores Locais - 4ª Edição! 
belo-horizonte-mg,https://www.sympla.com.br/espaco-sense----carnaval-exclusive-2017__102942,Sense Produções,sympla,ESPAÇO SENSE  - CARNAVAL EXCLUSIVE 2017
belo-horizonte-mg,https://www.sympla.com.br/seminario-engenharia-de-seguranca-do-trabalho__107449,Alice Luisa Sebastiani de Sousa,sympla,Seminario, Engenharia de Segurança do Trabalho
belo-horizonte-mg,https://www.sympla.com.br/governanca-risco-e-compliance---grc__107896,Edilson Cordeiro,sympla,Governança, Risco e Compliance - GRC
belo-horizonte-mg,https://www.sympla.com.br/extreme-day__109685,INEMP- Treinamento Extreme,sympla,Extreme Day  
belo-horizonte-mg,https://www.sympla.com.br/extreme-day__109672,INEMP- Treinamento Extreme,sympla,Extreme Day
belo-horizonte-mg,https://www.sympla.com.br/extreme-day__109688,INEMP- Treinamento Extreme,sympla,Extreme Day   
belo-horizonte-mg,https://www.sympla.com.br/self-coaching-com-pnl-em-belo-horizonte-outubro-2017__107481,INEMP,sympla,Self Coaching com PNL em Belo Horizonte (Outubro 2017)  
belo-horizonte-mg,https://www.sympla.com.br/rosa-de-saron-em-belo-horizonte-2017---acustico-e-ao-vivo--23__103028,Highway Star,sympla,Rosa de Saron em Belo Horizonte 2017 - Acústico e Ao Vivo ⅔
belo-horizonte-mg,https://www.sympla.com.br/0-encontro-nacional-dos-unicornios-de-crina-rosa__79969,Sympla Teste,sympla,0º Encontro Nacional dos Unicórnios de Crina Rosa
belo-horizonte-mg,https://www.sympla.com.br/projeto-forte-programa-de-parcerias-de-investimentos-ppi-da-presidencia-da-republica__108738,Gerência de Projetos para a Indústria / IEL,sympla,PROJETO FORTE: Programa de Parcerias de Investimentos, PPI, da Presidência da República
belo-horizonte-mg,https://www.sympla.com.br/o-diagnostico-psicopedagogico-nas-diversas-dimensoes-do-sujeito---i-modulo__113739,Aprendizagem e Companhia,sympla,O Diagnóstico Psicopedagógico nas Diversas Dimensões do Sujeito - I Módulo
belo-horizonte-mg,https://www.sympla.com.br/workshop-processos-estrategicos---como-diminuir-os-custos-e-ampliar-o-lucro-do-seu-restaurante__113974,PH GESTÃO PARA RESULTADOS,sympla,WORKSHOP PROCESSOS ESTRATÉGICOS - COMO DIMINUIR OS CUSTOS E AMPLIAR O LUCRO DO SEU RESTAURANTE?
belo-horizonte-mg,https://www.sympla.com.br/sucesso-em-vendas--colecao-sucesso__114418,SBCoaching Empresas - Belo Horizonte - Unidade 61,sympla,Sucesso em Vendas | Coleção Sucesso
belo-horizonte-mg,https://www.sympla.com.br/sucesso-em-vendas--colecao-sucesso__114421,SBCoaching Empresas - Belo Horizonte - Unidade 61,sympla,Sucesso em Vendas | Coleção Sucesso
belo-horizonte-mg,https://www.sympla.com.br/como-equilibrar-gestao-eficiente-e-lideranca-motivadora-em-uma-instituicao-de-ensino---minas-gerais__115021,Rabbit Partnership,sympla,Como equilibrar gestão eficiente e liderança motivadora em uma instituição de ensino - Minas Gerais
belo-horizonte-mg,https://www.sympla.com.br/evento-de-anime-cosplay-otakus-e-otome__96508,Aline,sympla,EVENTO DE ANIME, COSPLAY, OTAKUS E OTOME
